block_size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,0.47777053713798523,0.17837552726268768,0.16874681413173676,0.1561092734336853,0.1712798923254013,0.15126584470272064,0.14907509088516235,0.11958280205726624,0.1393664926290512,0.1546519249677658,0.12967418134212494,0.13555489480495453,0.11471211165189743,0.09874770045280457,0.1061992198228836,0.24757160246372223
2,0.48388671875,0.23068270087242126,0.21592837572097778,0.21296972036361694,0.2013094574213028,0.2013498842716217,0.18544934689998627,0.1750713437795639,0.1912173330783844,0.18746930360794067,0.17867015302181244,0.17519286274909973,0.15224593877792358,0.15223656594753265,0.2725440263748169,
3,0.4870813488960266,0.25954070687294006,0.25017473101615906,0.2321571409702301,0.2267361581325531,0.2291875034570694,0.21593746542930603,0.2148718386888504,0.22143550217151642,0.21179541945457458,0.21203471720218658,0.2048872411251068,0.1961674690246582,0.2910914719104767,,
4,0.4871163070201874,0.2856159806251526,0.26225778460502625,0.24902182817459106,0.25038641691207886,0.2549741566181183,0.2408425360918045,0.23918819427490234,0.243439182639122,0.23334242403507233,0.23798760771751404,0.23981846868991852,0.3187303841114044,,,
5,0.49010583758354187,0.29036906361579895,0.2746952772140503,0.269305020570755,0.2671812176704407,0.26750537753105164,0.26070335507392883,0.25926634669303894,0.26743441820144653,0.25128331780433655,0.2684214413166046,0.33718186616897583,,,,
6,0.48846548795700073,0.299102246761322,0.29106470942497253,0.28398597240448,0.2774105370044708,0.2865244448184967,0.2775231599807739,0.2815365791320801,0.28518059849739075,0.26759421825408936,0.3576478064060211,,,,,
7,0.4880121946334839,0.31300994753837585,0.30169063806533813,0.28990352153778076,0.2930215299129486,0.302311509847641,0.29728594422340393,0.2992658317089081,0.3045095205307007,0.35493695735931396,,,,,,
8,0.48715850710868835,0.3194407522678375,0.30826711654663086,0.3053101599216461,0.30539795756340027,0.3215485215187073,0.3135845363140106,0.3203388452529907,0.3765195608139038,,,,,,,
9,0.4871476888656616,0.32544273138046265,0.3212491273880005,0.3166617751121521,0.323536217212677,0.33744195103645325,0.3342364430427551,0.3888508975505829,,,,,,,,
10,0.4865032136440277,0.3339404761791229,0.3280467987060547,0.33453938364982605,0.33837783336639404,0.3596762418746948,0.399758517742157,,,,,,,,,
11,0.4869850277900696,0.3412017226219177,0.3442732095718384,0.3487128019332886,0.35935723781585693,0.4156028926372528,,,,,,,,,,
12,0.48562097549438477,0.35296547412872314,0.3567284941673279,0.37012213468551636,0.41582295298576355,,,,,,,,,,,
13,0.4830535054206848,0.36219322681427,0.37680280208587646,0.4225850999355316,,,,,,,,,,,,
14,0.4796657860279083,0.37608128786087036,0.42647311091423035,,,,,,,,,,,,,
15,0.4752056896686554,0.4221828579902649,,,,,,,,,,,,,,
