block_size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,0.6337846951627364,-0.3889696334607208,-0.2720643823906872,-0.394948576681288,-0.4129338918750376,-0.4771458396112944,-0.45693816684021865,-0.5875317173555632,-0.5204444077171935,-0.4210561514565595,-0.5235590018757994,-0.49103951483746694,-0.5300409279866768,-0.5923915140981433,-0.6327324113045478,-0.08967772819650012
2,0.6466055590464115,-0.11294432562577097,-0.17815298558106513,-0.26703714688508673,-0.3014810106831612,-0.29920206910743563,-0.36507905238337446,-0.4001289317529435,-0.31062885108973654,-0.3172905080220708,-0.35443109060031286,-0.3299376588945932,-0.3941063957503109,-0.4654771867428047,-0.0480027775929964,
3,0.6536299575569264,-0.03915869878798999,-0.13782925322589126,-0.1746871397527431,-0.1776506890842069,-0.21736112501482902,-0.25319918343500003,-0.2622381817510342,-0.21557605734633536,-0.22508366753648718,-0.21624980737025673,-0.22532108487214952,-0.29422646789868245,0.010070082174470557,,
4,0.6537480224698584,-0.013851496420369234,-0.10567206966345168,-0.1127264265584092,-0.1227528340406358,-0.13027124152258973,-0.14011307541535145,-0.16263217634732405,-0.1434367887573215,-0.1395212047011663,-0.12336705073941359,-0.14746572490386567,0.11148317603961401,,,
5,0.663844635893593,0.000319772276013292,-0.06366662694505926,-0.07268332949297798,-0.04041281315889076,-0.06788009382190766,-0.06513312172491922,-0.10319682488258936,-0.05745863576473784,-0.07933934128249295,-0.05163867734679468,0.1740614290347168,,,,
6,0.6591856659860513,0.018763617918251527,-0.008381750106651466,-0.011798893306588317,0.01993079001802743,0.003855370208959746,-0.01879443965959407,-0.028795565187034706,0.0005014081958055125,-0.05132261459301839,0.24011972943901844,,,,,
7,0.6580108415881311,0.06573443001836965,0.02750545408020809,0.040382391796383116,0.07597081035496062,0.04516885035774057,0.01875110500658015,0.027724670252557097,0.03702573358113867,0.2266531456412885,,,,,,
8,0.6586789386969605,0.08745334139288388,0.07496794591194178,0.09027649928795176,0.11162979445378499,0.11255715747442337,0.06962307846449624,0.09048649241693124,0.2802269733608157,,,,,,,
9,0.6578137897283295,0.1298306198648422,0.12458131643431494,0.1148698102174264,0.1488976525343479,0.17532123680586076,0.13742318345525567,0.32187389330012545,,,,,,,,
10,0.6537370640245133,0.16165801714360387,0.15294154605186813,0.14963767559186497,0.1876164827566528,0.22773640851903912,0.3587124611332202,,,,,,,,,
11,0.6536645897785678,0.18789660329892133,0.1887994151603797,0.19823228122885034,0.23675816853545273,0.4235867032301773,,,,,,,,,,
12,0.6518500676835515,0.2147625516780476,0.2324501966681426,0.25862079233795016,0.42827659660064477,,,,,,,,,,,
13,0.6551950325015934,0.23985767678405992,0.2811835709162346,0.43591966738526255,,,,,,,,,,,,
14,0.6562605314875403,0.28419497610287453,0.45421803214395556,,,,,,,,,,,,,
15,0.6506547398954776,0.4412337053085923,,,,,,,,,,,,,,
