task,block_size,best_start_layer,best_end_layer_inclusive,best_distance
code,1,14,14,0.09327542781829834
code,2,13,14,0.15472179651260376
code,3,6,8,0.2021215558052063
code,4,7,10,0.23913463950157166
code,5,3,7,0.25650736689567566
code,6,3,8,0.27136242389678955
code,7,3,9,0.2865488529205322
code,8,3,10,0.30339673161506653
code,9,3,11,0.3183075785636902
code,10,2,11,0.33222320675849915
code,11,1,11,0.34346750378608704
code,12,1,12,0.3573945164680481
code,13,1,13,0.3676130473613739
code,14,1,14,0.3755548596382141
code,15,1,15,0.4232752025127411
