variant,percent,method,ppl_pre_qlora,ppl_post_qlora,adapters,ok,error
none,10,weighted_mean,11.563365317544983,13.585172568535521,results/pruning/single-shot/qwen-qwen2.5-1.5b/qwen-qwen2.5-1.5b_weighted_mean_p10_none_qlora,True,
tblock_blank_preheal,10,weighted_mean,12.19497674608385,10.085324741085254,results/pruning/single-shot/qwen-qwen2.5-1.5b/qwen-qwen2.5-1.5b_weighted_mean_p10_tblock_blank_preheal_qlora,True,
tblock_avg_post_single_layer_heal,10,weighted_mean,9.806059440191818,10.095195456213801,results/pruning/single-shot/qwen-qwen2.5-1.5b/qwen-qwen2.5-1.5b_weighted_mean_p10_tblock_avg_healed_qlora,True,
none,20,weighted_mean,13.7107564750729,11.611506987741503,results/pruning/single-shot/qwen-qwen2.5-1.5b/qwen-qwen2.5-1.5b_weighted_mean_p20_none_qlora,True,
tblock_blank_preheal,20,weighted_mean,16.040250759909497,13.181381554048247,results/pruning/single-shot/qwen-qwen2.5-1.5b/qwen-qwen2.5-1.5b_weighted_mean_p20_tblock_blank_preheal_qlora,True,
tblock_avg_post_single_layer_heal,20,weighted_mean,10.740537387137884,13.138509797924378,results/pruning/single-shot/qwen-qwen2.5-1.5b/qwen-qwen2.5-1.5b_weighted_mean_p20_tblock_avg_healed_qlora,True,
none,30,weighted_mean,17.13408223300438,14.730461352396729,results/pruning/single-shot/qwen-qwen2.5-1.5b/qwen-qwen2.5-1.5b_weighted_mean_p30_none_qlora,True,
tblock_blank_preheal,30,weighted_mean,19.716346366853205,17.105915941644078,results/pruning/single-shot/qwen-qwen2.5-1.5b/qwen-qwen2.5-1.5b_weighted_mean_p30_tblock_blank_preheal_qlora,True,
tblock_avg_post_single_layer_heal,30,weighted_mean,11.711584746754797,14.815254144289318,results/pruning/single-shot/qwen-qwen2.5-1.5b/qwen-qwen2.5-1.5b_weighted_mean_p30_tblock_avg_healed_qlora,True,
none,40,weighted_mean,30.9349813667723,16.829581160737003,results/pruning/single-shot/qwen-qwen2.5-1.5b/qwen-qwen2.5-1.5b_weighted_mean_p40_none_qlora,True,
tblock_blank_preheal,40,weighted_mean,40.01259412433309,17.718145024800442,results/pruning/single-shot/qwen-qwen2.5-1.5b/qwen-qwen2.5-1.5b_weighted_mean_p40_tblock_blank_preheal_qlora,True,
tblock_avg_post_single_layer_heal,40,weighted_mean,14.199038338708938,18.504332187299845,results/pruning/single-shot/qwen-qwen2.5-1.5b/qwen-qwen2.5-1.5b_weighted_mean_p40_tblock_avg_healed_qlora,True,
none,50,weighted_mean,71.84021148530954,18.74452013727271,results/pruning/single-shot/qwen-qwen2.5-1.5b/qwen-qwen2.5-1.5b_weighted_mean_p50_none_qlora,True,
tblock_blank_preheal,50,weighted_mean,167.8766826599836,20.786971803471545,results/pruning/single-shot/qwen-qwen2.5-1.5b/qwen-qwen2.5-1.5b_weighted_mean_p50_tblock_blank_preheal_qlora,True,
tblock_avg_post_single_layer_heal,50,weighted_mean,20.986716037619548,23.008776654042297,results/pruning/single-shot/qwen-qwen2.5-1.5b/qwen-qwen2.5-1.5b_weighted_mean_p50_tblock_avg_healed_qlora,True,
