method,strategy,percent,selected_start,selected_end_inclusive,ppl_before_heal,ppl_after_heal,delta_ppl,inserted_idx,rank
weighted_mean,tblock_blank,10,12,15,12.19497674608385,10.285704062982974,-1.909272683100875,12,16
weighted_mean,tblock_avg,10,12,15,12.123242812086296,9.806059440191818,-2.317183371894478,12,16
weighted_mean,tblock_lr_mean,10,12,15,12.25220026932984,10.084854311130158,-2.1673459581996823,12,16
weighted_mean,tblock_consensus,10,12,15,12.22164058624069,10.19950806718143,-2.0221325190592605,12,16
weighted_mean,tblock_blank,20,9,15,16.040250759909497,11.240519302859846,-4.799731457049651,9,16
weighted_mean,tblock_avg,20,9,15,15.765838542539562,10.740537387137884,-5.025301155401678,9,16
weighted_mean,tblock_lr_mean,20,9,15,16.073601826915855,11.26946182977992,-4.804139997135936,9,16
weighted_mean,tblock_consensus,20,9,15,16.05159610999877,11.295673126818622,-4.755922983180147,9,16
weighted_mean,tblock_blank,30,8,16,19.716346366853205,12.65217060748824,-7.064175759364966,8,16
weighted_mean,tblock_avg,30,8,16,19.411582117489296,11.711584746754795,-7.699997370734501,8,16
weighted_mean,tblock_lr_mean,30,8,16,19.733176603401382,12.412343340675811,-7.3208332627255714,8,16
weighted_mean,tblock_consensus,30,8,16,19.720211702560174,12.532782509449355,-7.18742919311082,8,16
weighted_mean,tblock_blank,40,7,18,40.01259412433309,15.619708158859249,-24.392885965473845,7,16
weighted_mean,tblock_avg,40,7,18,39.05541807572477,14.199038338708938,-24.856379737015835,7,16
weighted_mean,tblock_lr_mean,40,7,18,40.035429191426566,15.391330561850467,-24.6440986295761,7,16
weighted_mean,tblock_consensus,40,7,18,40.0334884801411,15.865997958638186,-24.167490521502916,7,16
weighted_mean,tblock_blank,50,7,21,167.8766826599836,23.031356044115075,-144.84532661586852,7,16
weighted_mean,tblock_avg,50,7,21,161.5150019261339,20.986716037619548,-140.52828588851435,7,16
weighted_mean,tblock_lr_mean,50,7,21,167.14912057924118,23.42382422994537,-143.7252963492958,7,16
weighted_mean,tblock_consensus,50,7,21,167.87787169718797,23.83531398660156,-144.0425577105864,7,16
