method,strategy,percent,selected_start,selected_end_inclusive,baseline_ppl,post_ppl,delta_ppl,inserted_idx,rank
weighted_mean,none,10,13,15,12.408719142264108,11.563365317544985,-0.8453538247191226,,16
weighted_mean,tblock_blank,10,12,15,12.408719142264108,12.19268712926716,-0.21603201299694774,12.0,16
weighted_mean,tblock_avg,10,12,15,12.408719142264108,12.123242812086295,-0.28547633017781315,12.0,16
weighted_mean,tblock_lr_mean,10,12,15,12.408719142264108,12.252200269329839,-0.15651887293426903,12.0,16
weighted_mean,tblock_consensus,10,12,15,12.408719142264108,12.22164058624069,-0.18707855602341716,12.0,16
weighted_mean,none,20,11,16,12.408719142264108,13.7107564750729,1.3020373328087924,,16
weighted_mean,tblock_blank,20,9,15,12.408719142264108,16.036297568615506,3.6275784263513984,9.0,16
weighted_mean,tblock_avg,20,9,15,12.408719142264108,15.765838542539562,3.3571194002754545,9.0,16
weighted_mean,tblock_lr_mean,20,9,15,12.408719142264108,16.073601826915855,3.6648826846517473,9.0,16
weighted_mean,tblock_consensus,20,9,15,12.408719142264108,16.05159610999877,3.6428769677346615,9.0,16
weighted_mean,none,30,9,16,12.408719142264108,17.13408223300438,4.725363090740274,,16
weighted_mean,tblock_blank,30,8,16,12.408719142264108,19.718289044717118,7.30956990245301,8.0,16
weighted_mean,tblock_avg,30,8,16,12.408719142264108,19.411582117489296,7.002862975225188,8.0,16
weighted_mean,tblock_lr_mean,30,8,16,12.408719142264108,19.733176603401386,7.324457461137278,8.0,16
weighted_mean,tblock_consensus,30,8,16,12.408719142264108,19.720211702560178,7.31149256029607,8.0,16
weighted_mean,none,40,8,18,12.408719142264108,30.9349813667723,18.52626222450819,,16
weighted_mean,tblock_blank,40,7,18,12.408719142264108,40.010956055531835,27.602236913267728,7.0,16
weighted_mean,tblock_avg,40,7,18,12.408719142264108,39.05541807572477,26.646698933460666,7.0,16
weighted_mean,tblock_lr_mean,40,7,18,12.408719142264108,40.035429191426566,27.626710049162458,7.0,16
weighted_mean,tblock_consensus,40,7,18,12.408719142264108,40.0334884801411,27.624769337876995,7.0,16
weighted_mean,none,50,7,20,12.408719142264108,71.84021148530954,59.431492343045434,,16
weighted_mean,tblock_blank,50,7,21,12.408719142264108,167.9062612408795,155.49754209861538,7.0,16
weighted_mean,tblock_avg,50,7,21,12.408719142264108,161.5150019261339,149.10628278386977,7.0,16
weighted_mean,tblock_lr_mean,50,7,21,12.408719142264108,167.14912057924118,154.74040143697707,7.0,16
weighted_mean,tblock_consensus,50,7,21,12.408719142264108,167.87787169718797,155.46915255492385,7.0,16
