method,strategy,percent,selected_start,selected_end_inclusive,ppl_before_heal,ppl_after_heal,delta_ppl,inserted_idx,rank
weighted_mean,tblock_blank,10,12,15,12.19268712926716,10.920451500132453,-1.2722356291347072,12,16
weighted_mean,tblock_avg,10,12,15,12.123242812086296,10.323147589748892,-1.8000952223374043,12,16
weighted_mean,tblock_lr_mean,10,12,15,12.25220026932984,10.603359301432782,-1.6488409678970584,12,16
weighted_mean,tblock_consensus,10,12,15,12.22164058624069,10.687745602260824,-1.5338949839798666,12,16
weighted_mean,tblock_blank,20,9,15,16.036297568615506,12.552041141585025,-3.4842564270304806,9,16
weighted_mean,tblock_avg,20,9,15,15.765838542539562,12.329088981723972,-3.4367495608155902,9,16
weighted_mean,tblock_lr_mean,20,9,15,16.073601826915855,12.913280368935956,-3.160321457979899,9,16
weighted_mean,tblock_consensus,20,9,15,16.05159610999877,13.006622303663303,-3.0449738063354665,9,16
weighted_mean,tblock_blank,30,8,16,19.71828904471712,14.74878348799351,-4.969505556723611,8,16
weighted_mean,tblock_avg,30,8,16,19.411582117489296,14.186360002809865,-5.225222114679431,8,16
weighted_mean,tblock_lr_mean,30,8,16,19.733176603401382,14.608715750025592,-5.1244608533757905,8,16
weighted_mean,tblock_consensus,30,8,16,19.720211702560174,14.811691659954747,-4.908520042605428,8,16
weighted_mean,tblock_blank,40,7,18,40.01095605553184,20.711345624147313,-19.29961043138453,7,16
weighted_mean,tblock_avg,40,7,18,39.05541807572477,19.757107183774895,-19.29831089194988,7,16
weighted_mean,tblock_lr_mean,40,7,18,40.035429191426566,20.99704068461579,-19.038388506810776,7,16
weighted_mean,tblock_consensus,40,7,18,40.0334884801411,21.70088057621569,-18.33260790392541,7,16
weighted_mean,tblock_blank,50,7,21,167.9062612408795,41.76734996039072,-126.13891128048878,7,16
weighted_mean,tblock_avg,50,7,21,161.5150019261339,37.80949465433567,-123.70550727179821,7,16
weighted_mean,tblock_lr_mean,50,7,21,167.14912057924118,39.97771248187414,-127.17140809736705,7,16
weighted_mean,tblock_consensus,50,7,21,167.87787169718797,42.715694602019596,-125.16217709516837,7,16
