variant,percent,method,ppl_pre_qlora,ppl_post_qlora,adapters,ok,error
none,10,weighted_mean,11.563365317544983,10.3814253490374,results/pruning/single-shot/qwen-qwen2.5-1.5b/qwen-qwen2.5-1.5b_weighted_mean_p10_none_qlora,True,
tblock_blank_preheal,10,weighted_mean,12.19268712926716,10.771351412230116,results/pruning/single-shot/qwen-qwen2.5-1.5b/qwen-qwen2.5-1.5b_weighted_mean_p10_tblock_blank_preheal_qlora,True,
tblock_avg_post_single_layer_heal,10,weighted_mean,10.323147589748892,10.76266202341616,results/pruning/single-shot/qwen-qwen2.5-1.5b/qwen-qwen2.5-1.5b_weighted_mean_p10_tblock_avg_healed_qlora,True,
none,20,weighted_mean,13.7107564750729,12.00148990500104,results/pruning/single-shot/qwen-qwen2.5-1.5b/qwen-qwen2.5-1.5b_weighted_mean_p20_none_qlora,True,
tblock_blank_preheal,20,weighted_mean,16.036297568615506,12.90329388097195,results/pruning/single-shot/qwen-qwen2.5-1.5b/qwen-qwen2.5-1.5b_weighted_mean_p20_tblock_blank_preheal_qlora,True,
tblock_avg_post_single_layer_heal,20,weighted_mean,12.329088981723972,12.78807591385273,results/pruning/single-shot/qwen-qwen2.5-1.5b/qwen-qwen2.5-1.5b_weighted_mean_p20_tblock_avg_healed_qlora,True,
none,30,weighted_mean,17.13408223300438,13.676096877536404,results/pruning/single-shot/qwen-qwen2.5-1.5b/qwen-qwen2.5-1.5b_weighted_mean_p30_none_qlora,True,
tblock_blank_preheal,30,weighted_mean,19.71828904471712,14.559465830985102,results/pruning/single-shot/qwen-qwen2.5-1.5b/qwen-qwen2.5-1.5b_weighted_mean_p30_tblock_blank_preheal_qlora,True,
tblock_avg_post_single_layer_heal,30,weighted_mean,14.186360002809865,14.467623564429061,results/pruning/single-shot/qwen-qwen2.5-1.5b/qwen-qwen2.5-1.5b_weighted_mean_p30_tblock_avg_healed_qlora,True,
none,40,weighted_mean,30.9349813667723,17.46009062784642,results/pruning/single-shot/qwen-qwen2.5-1.5b/qwen-qwen2.5-1.5b_weighted_mean_p40_none_qlora,True,
tblock_blank_preheal,40,weighted_mean,40.01095605553184,19.13196884563721,results/pruning/single-shot/qwen-qwen2.5-1.5b/qwen-qwen2.5-1.5b_weighted_mean_p40_tblock_blank_preheal_qlora,True,
tblock_avg_post_single_layer_heal,40,weighted_mean,19.75710718377489,18.94486509712164,results/pruning/single-shot/qwen-qwen2.5-1.5b/qwen-qwen2.5-1.5b_weighted_mean_p40_tblock_avg_healed_qlora,True,
none,50,weighted_mean,71.84021148530954,27.645301777474167,results/pruning/single-shot/qwen-qwen2.5-1.5b/qwen-qwen2.5-1.5b_weighted_mean_p50_none_qlora,True,
tblock_blank_preheal,50,weighted_mean,167.9062612408795,33.947997760270496,results/pruning/single-shot/qwen-qwen2.5-1.5b/qwen-qwen2.5-1.5b_weighted_mean_p50_tblock_blank_preheal_qlora,True,
tblock_avg_post_single_layer_heal,50,weighted_mean,37.80949465433567,33.689746341930096,results/pruning/single-shot/qwen-qwen2.5-1.5b/qwen-qwen2.5-1.5b_weighted_mean_p50_tblock_avg_healed_qlora,True,
